AMLO,2019-010-2,10:19:06,199
AMLO,2019-010-3,08:47:26,4759
AMLO,2019-010-4,08:28:17,1893
AMLO,2019-010-4,08:37:03,1893
AMLO,2019-010-5,05:00:18,4595
AMLO,2019-010-6,05:00:07,1095
AMLO,2019-010-7,05:00:11,2094
AMLO,2019-010-8,05:00:07,999
AMLO,2019-010-9,05:00:18,4570
AMLO,2019-010-10,05:00:20,3658
AMLO,2019-010-11,05:00:19,4573
AMLO,2019-010-12,05:00:16,3956
AMLO,2019-010-13,05:00:13,2709
AMLO,2019-010-14,05:00:17,2751
AMLO,2019-010-15,05:00:05,89
AMLO,2019-010-16,05:00:19,4486
AMLO,2019-010-17,05:00:16,4083
AMLO,2019-010-18,05:00:19,4664
AMLO,2019-010-19,05:00:54,17900
AMLO,2019-010-20,05:00:14,3196
AMLO,2019-010-21,05:00:22,5468
AMLO,2019-010-22,05:00:26,7118
AMLO,2019-010-23,05:00:24,6861
AMLO,2019-010-24,05:00:42,6125
AMLO,2019-010-25,05:00:18,1498
AMLO,2019-010-26,05:00:09,1097
AMLO,2019-010-27,05:00:16,3078
AMLO,2019-010-28,05:00:11,1199
AMLO,2019-010-29,05:00:29,2093
AMLO,2019-010-30,05:00:32,2992
AMLO,2019-010-31,05:00:40,4487
AMLO,2019-011-1,05:00:42,5305
AMLO,2019-011-2,05:00:49,5926
AMLO,2019-011-3,05:00:33,4007
AMLO,2019-011-4,05:00:35,4276
AMLO,2019-011-5,05:00:54,7615
AMLO,2019-011-6,05:00:46,493
AMLO,2019-011-7,05:00:41,1391
AMLO,2019-011-8,05:00:51,6750
AMLO,2019-011-9,05:00:16,3699
AMLO,2019-011-10,05:00:22,898
AMLO,2019-011-11,05:00:44,5754
AMLO,2019-011-12,05:00:06,394
AMLO,2019-011-13,05:00:40,194
AMLO,2019-011-14,05:00:38,5796
AMLO,2019-011-15,05:00:51,5410
AMLO,2019-011-16,05:00:33,5012
AMLO,2019-011-17,05:00:20,2181
AMLO,2019-011-18,05:00:28,2793
AMLO,2019-011-19,05:00:40,5096
AMLO,2019-011-20,05:00:44,5842
