Andres Manuel Lopez Obrador,2019-010-24,05:00:43,309
Andres Manuel Lopez Obrador,2019-010-25,05:00:18,211
Andres Manuel Lopez Obrador,2019-010-26,05:00:10,169
Andres Manuel Lopez Obrador,2019-010-27,05:00:16,118
Andres Manuel Lopez Obrador,2019-010-28,05:00:12,165
Andres Manuel Lopez Obrador,2019-010-29,05:00:29,156
Andres Manuel Lopez Obrador,2019-010-30,05:00:33,157
Andres Manuel Lopez Obrador,2019-010-31,05:00:41,213
Andres Manuel Lopez Obrador,2019-011-1,05:00:42,235
Andres Manuel Lopez Obrador,2019-011-2,05:00:50,330
Andres Manuel Lopez Obrador,2019-011-3,05:00:33,171
Andres Manuel Lopez Obrador,2019-011-4,05:00:36,146
Andres Manuel Lopez Obrador,2019-011-5,05:00:55,318
Andres Manuel Lopez Obrador,2019-011-6,05:00:47,318
Andres Manuel Lopez Obrador,2019-011-7,05:00:42,265
Andres Manuel Lopez Obrador,2019-011-8,05:00:52,236
Andres Manuel Lopez Obrador,2019-011-9,05:00:17,201
Andres Manuel Lopez Obrador,2019-011-10,05:00:23,134
Andres Manuel Lopez Obrador,2019-011-11,05:00:45,214
Andres Manuel Lopez Obrador,2019-011-12,05:00:07,216
Andres Manuel Lopez Obrador,2019-011-13,05:00:41,235
Andres Manuel Lopez Obrador,2019-011-14,05:00:39,177
Andres Manuel Lopez Obrador,2019-011-15,05:00:52,207
Andres Manuel Lopez Obrador,2019-011-16,05:00:34,188
Andres Manuel Lopez Obrador,2019-011-17,05:00:21,103
Andres Manuel Lopez Obrador,2019-011-18,05:00:28,128
Andres Manuel Lopez Obrador,2019-011-19,05:00:41,230
Andres Manuel Lopez Obrador,2019-011-20,05:00:45,259
